ID,Name,Price,Country,City,Year
1,Longos - Greek Salad,18,Argentina,Villa Santa Rita,1998
2,Sauce - Cranberry,41,Belgium,Momignies,2010
3,Towel Multifold,46,Swaziland,Mhlambanyatsi,1996
4,"Pepsi, 355 Ml",82,Nigeria,Aku,2009
5,Clam - Cherrystone,75,Brazil,Louveira,2007
6,Soup - Campbells Beef Noodle,41,Indonesia,Singkup,1996
7,Energy Drink,88,Indonesia,Pangkalan,2012
8,Shopper Bag - S - 4,69,Venezuela,Valera,1996
9,Chicken - Whole,93,China,Yuanlin,2010
10,Squid - U - 10 Thailand,2,United States,Houston,1987
11,Pate - Liver,94,France,Rouen,2002
12,Apron,63,Japan,Uchimaru,1992
13,"Soup - Campbells, Lentil",24,Indonesia,Ngepoh Kidul,1998
14,"Pasta - Tortellini, Fresh",71,Japan,Kaseda-shirakame,1994
15,Soup - Campbells Mushroom,34,Portugal,Brejoeira,2003
16,Tea Peppermint,80,Brazil,Buriti Alegre,2003
17,Bread Sour Rolls,59,Palestinian Territory,Bayt Dajan,2004
18,Potato - Sweet,39,Portugal,Covão da Carvalha,2005
19,Wanton Wrap,30,Canada,North Battleford,2010
20,Broom - Corn,49,Mexico,Fernando Gutierrez Barrios,1992
21,Creme De Cacao Mcguines,35,Kazakhstan,Sarykemer,1995
22,"Oil - Truffle, Black",97,Botswana,Nokaneng,2012
23,"Yogurt - Peach, 175 Gr",17,Indonesia,Panji,1989
24,Tuna - Fresh,50,China,Shijie,2006
25,Truffle Shells - White Chocolate,1,Indonesia,Lela,1996
26,Breadfruit,58,Indonesia,Kubang,2005
27,Gatorade - Fruit Punch,15,Brazil,Massaranduba,2010
28,Ice Cream Bar - Rolo Cone,32,Russia,Shelopugino,1969
29,Cheese - Roquefort Pappillon,91,Indonesia,Ketawang,2007
30,Shrimp - Prawn,55,Russia,Zhigulevsk,2013
31,"Pesto - Primerba, Paste",93,China,Herong,1992
32,Cheese - Swiss Sliced,65,Indonesia,Sindangsari,1996
33,Pie Filling - Apple,18,Zimbabwe,Shurugwi,2012
34,Soap - Pine Sol Floor Cleaner,82,Japan,Abiko,1995
35,Beer - Pilsner Urquell,35,Tokelau,Atafu Village,2007
36,Veal - Provimi Inside,13,Mexico,La Guadalupe,1995
37,"Napkin - Cocktail,beige 2 - Ply",1,China,Ganhe,1989
38,"Pepper - Green, Chili",53,Peru,Mosoc Llacta,2000
39,Wine - Magnotta - Belpaese,77,Iran,Jahrom,2001
40,Bread - Italian Corn Meal Poly,89,Indonesia,Burujul,2003
41,Bread Base - Italian,71,China,Biyang,2007
42,Cookies Cereal Nut,62,Thailand,Lap Lae,2004
43,Banana Turning,22,Japan,Haebaru,1995
44,Eggplant Italian,29,Ghana,Savelugu,2001
45,Pastry - Chocolate Marble Tea,34,Sweden,Huddinge,1994
46,Squash - Pepper,17,Sweden,Bollnäs,2005
47,Cleaner - Lime Away,8,Iran,Āshkhāneh,2012
48,Breakfast Quesadillas,84,Thailand,Phonphisai,1990
49,Pastry - Lemon Danish - Mini,42,Honduras,La Libertad,2007
50,Beef - Inside Round,76,Philippines,Manat,2008
51,Chocolate - Unsweetened,57,Serbia,Bogojevo,1991
52,Bread - Triangle White,69,Philippines,Carmen,2002
53,Lamb Rack Frenched Australian,42,Costa Rica,Nicoya,2010
54,Wine - Duboeuf Beaujolais,70,Argentina,Cipolletti,2012
55,Ketchup - Tomato,96,China,Xiaomei,1990
56,Muffin - Carrot Individual Wrap,65,Portugal,Cruz de Pau,2007
57,"Juice - Pineapple, 341 Ml",97,Portugal,Azenha,2001
58,Arrowroot,49,Canada,Grande Prairie,2011
59,Beans - Fine,3,Anguilla,The Valley,2010
60,Pie Filling - Pumpkin,92,Brazil,Canavieiras,2008
61,Appetizer - Cheese Bites,88,Honduras,Guacamaya,2006
62,Garam Marsala,41,Serbia,Trstenik,2012
63,Sage - Rubbed,30,France,Évreux,1996
64,Glove - Cutting,54,China,Songshu,1994
65,Flavouring Vanilla Artificial,47,Iran,Behābād,2006
66,Trueblue - Blueberry Cranberry,24,China,Liuzu,1994
67,"Juice - V8, Tomato",98,Philippines,Cabugao,1996
68,Nantucket Cranberry Juice,97,Indonesia,Sukasari,1995
69,Chocolate - Mi - Amere Semi,50,Indonesia,Puncakmanis,1994
70,Cloves - Ground,65,Russia,Petrovo-Dal’neye,2006
71,Galliano,42,Germany,Chemnitz,2005
72,Cheese - Augre Des Champs,77,China,Foluo,1994
73,Food Colouring - Orange,88,China,Mafeng,1996
74,Parsley Italian - Fresh,18,Argentina,General José de San Martín,2009
75,Langers - Mango Nectar,60,Indonesia,Siluman,2004
76,Garbag Bags - Black,76,Brazil,Panambi,1984
77,Gherkin - Sour,70,Russia,Kovernino,1986
78,"Cup - 6oz, Foam",17,Kazakhstan,Aksu,1996
79,Wine - Magnotta - Cab Sauv,74,Peru,Iñapari,1996
80,Cheese - Shred Cheddar / Mozza,95,Central African Republic,Kembé,1997
81,Wine - Rhine Riesling Wolf Blass,60,Palestinian Territory,Mardā,1995
82,Swiss Chard,65,Russia,Turgenevo,1997
83,Table Cloth 144x90 White,54,Canada,Dorval,1996
84,"Bread - Pumpernickle, Rounds",37,Mongolia,Ulaan Khat,1985
85,Carbonated Water - Strawberry,22,France,Chaumont,2012
86,"Tortillas - Flour, 8",70,Indonesia,Krajan,1997
87,"Trout - Rainbow, Fresh",67,Poland,Jasienica Rosielna,1993
88,Dr. Pepper - 355ml,90,China,Nanyang,1985
89,Scallops - 10/20,58,Comoros,Ntsoudjini,2008
90,Lemon Balm - Fresh,35,Brazil,Barão de Cocais,2003
91,Sauce - Caesar Dressing,5,Sudan,El Obeid,1977
92,"Beef - Tongue, Cooked",10,Russia,Kurchaloy,2008
93,Soup - Campbellschix Stew,76,Philippines,Capissayan Sur,1994
94,"Bread - White, Sliced",87,Taiwan,Daxi,2002
95,Bread - Hamburger Buns,21,Syria,Kafr Baţnā,2012
96,Ice Cream Bar - Oreo Cone,78,Russia,Nagornyy,1996
97,Sobe - Berry Energy,60,Philippines,Upper San Mateo,2009
98,"Pasta - Fusili, Dry",73,Costa Rica,Cañas,1993
99,Pepper - Green Thai,3,France,Marseille,1997
100,Vinegar - Raspberry,98,Uganda,Mpigi,2005
